Date,Open,High,Low,Close,Volume,Adj Close
2015-04-14,0.09,0.09,0.09,0.09,000,0.09
2015-04-13,0.09,0.09,0.09,0.09,000,0.09
2015-04-10,0.09,0.09,0.09,0.09,000,0.09
2015-04-09,0.09,0.09,0.09,0.09,6200,0.09
2015-04-08,0.09,0.09,0.09,0.09,000,0.09
2015-04-07,0.09,0.09,0.09,0.09,000,0.09
2015-04-06,0.09,0.09,0.09,0.09,2400,0.09
2015-04-02,0.09,0.09,0.09,0.09,000,0.09
2015-04-01,0.09,0.09,0.09,0.09,500,0.09
2015-03-31,0.11,0.125,0.11,0.125,12500,0.125
2015-03-30,0.09,0.09,0.09,0.09,500,0.09
2015-03-27,0.10,0.10,0.10,0.10,000,0.10
2015-03-26,0.10,0.10,0.10,0.10,5000,0.10
2015-03-25,0.10,0.10,0.10,0.10,000,0.10
2015-03-24,0.10,0.10,0.10,0.10,000,0.10
2015-03-23,0.10,0.10,0.10,0.10,22500,0.10
2015-03-20,0.11,0.11,0.11,0.11,000,0.11
2015-03-19,0.11,0.11,0.11,0.11,300,0.11
2015-03-18,0.13,0.13,0.13,0.13,000,0.13
2015-03-17,0.13,0.13,0.13,0.13,000,0.13
2015-03-16,0.13,0.13,0.13,0.13,000,0.13
2015-03-13,0.13,0.13,0.13,0.13,6500,0.13
2015-03-12,0.13,0.13,0.13,0.13,000,0.13
2015-03-11,0.13,0.13,0.13,0.13,000,0.13
2015-03-10,0.12,0.13,0.12,0.13,8300,0.13
2015-03-09,0.13,0.13,0.13,0.13,600,0.13
2015-03-06,0.12,0.12,0.11,0.11,4100,0.11
2015-03-05,0.12,0.12,0.12,0.12,000,0.12
2015-03-04,0.12,0.12,0.12,0.12,1000,0.12
2015-03-03,0.13,0.13,0.13,0.13,000,0.13
2015-03-02,0.13,0.13,0.13,0.13,000,0.13
2015-02-27,0.13,0.13,0.13,0.13,3400,0.13
2015-02-26,0.10,0.10,0.10,0.10,1100,0.10
2015-02-25,0.10,0.10,0.10,0.10,000,0.10
2015-02-24,0.10,0.10,0.10,0.10,000,0.10
2015-02-23,0.10,0.10,0.10,0.10,000,0.10
2015-02-20,0.10,0.10,0.10,0.10,000,0.10
2015-02-19,0.10,0.10,0.10,0.10,000,0.10
2015-02-18,0.10,0.10,0.10,0.10,000,0.10
2015-02-17,0.10,0.10,0.10,0.10,000,0.10
2015-02-13,0.10,0.10,0.10,0.10,000,0.10
